RecordID,Date,Year,Month,YearMonth,Type,Category,Department,Actual,Budget,Variance
R00067,2022-03-01,2022,3,2022-03,Revenue,Product Sales,Sales,332721.0,285661.0,47060.0
R00068,2022-03-01,2022,3,2022-03,Revenue,Service Revenue,R&D,153109.81,162980.48,-9870.67
R00069,2022-03-01,2022,3,2022-03,Revenue,Subscription,R&D,183110.44,200016.15,-16905.71
R00070,2022-03-01,2022,3,2022-03,Revenue,Licensing,Operations,80743.76,77789.59,2954.17
R00071,2022-03-01,2022,3,2022-03,Expense,Salaries,Sales,123105.76,128330.63,-5224.87
R00072,2022-03-01,2022,3,2022-03,Expense,Marketing Spend,Sales,25137.47,26509.49,-1372.02
R00073,2022-03-01,2022,3,2022-03,Expense,Professional Services,Sales,6566.54,7346.48,-779.94
R00074,2022-03-01,2022,3,2022-03,Expense,Marketing Spend,Marketing,55025.02,57625.0,-2599.98
R00075,2022-03-01,2022,3,2022-03,Expense,Office Supplies,Marketing,1925.35,1870.07,55.28
R00076,2022-03-01,2022,3,2022-03,Expense,Salaries,Operations,84122.75,85579.97,-1457.22
R00077,2022-03-01,2022,3,2022-03,Expense,Marketing Spend,Operations,25681.25,23122.0,2559.25
R00078,2022-03-01,2022,3,2022-03,Expense,Rent & Utilities,Operations,13161.36,11731.57,1429.8
R00079,2022-03-01,2022,3,2022-03,Expense,Software & Tools,Operations,8053.38,8345.59,-292.21
R00080,2022-03-01,2022,3,2022-03,Expense,Travel,Operations,5184.34,4668.28,516.06
R00081,2022-03-01,2022,3,2022-03,Expense,Professional Services,Operations,7065.84,7045.51,20.33
R00082,2022-03-01,2022,3,2022-03,Expense,Marketing Spend,IT,23672.17,26180.74,-2508.57
R00083,2022-03-01,2022,3,2022-03,Expense,Rent & Utilities,IT,11780.3,11190.64,589.66
R00084,2022-03-01,2022,3,2022-03,Expense,Software & Tools,IT,16398.64,15174.1,1224.54
R00085,2022-03-01,2022,3,2022-03,Expense,Professional Services,IT,6313.92,6615.21,-301.29
R00086,2022-03-01,2022,3,2022-03,Expense,Office Supplies,IT,2029.54,2068.67,-39.13
R00087,2022-03-01,2022,3,2022-03,Expense,Salaries,HR,96599.06,88235.4,8363.67
R00088,2022-03-01,2022,3,2022-03,Expense,Software & Tools,HR,7394.55,7815.65,-421.09
R00089,2022-03-01,2022,3,2022-03,Expense,Professional Services,HR,6193.75,6491.52,-297.77
R00090,2022-03-01,2022,3,2022-03,Expense,Office Supplies,HR,2213.28,2065.17,148.11
R00091,2022-03-01,2022,3,2022-03,Expense,Training,HR,2638.05,2995.98,-357.92
R00092,2022-03-01,2022,3,2022-03,Expense,Salaries,Finance,76666.65,84100.38,-7433.73
R00093,2022-03-01,2022,3,2022-03,Expense,Marketing Spend,Finance,25868.88,25540.37,328.5
R00094,2022-03-01,2022,3,2022-03,Expense,Rent & Utilities,Finance,11548.61,12241.65,-693.05
R00095,2022-03-01,2022,3,2022-03,Expense,Software & Tools,Finance,8855.58,8203.13,652.45
R00096,2022-03-01,2022,3,2022-03,Expense,Travel,Finance,4355.85,5113.94,-758.08
R00097,2022-03-01,2022,3,2022-03,Expense,Professional Services,Finance,7180.13,7493.06,-312.93
R00098,2022-03-01,2022,3,2022-03,Expense,Training,Finance,3128.96,2979.96,149.0
R00099,2022-03-01,2022,3,2022-03,Expense,Salaries,R&D,125134.56,108486.29,16648.26
R00100,2022-03-01,2022,3,2022-03,Expense,Software & Tools,R&D,6966.47,7489.0,-522.53
R00101,2022-03-01,2022,3,2022-03,Expense,Travel,R&D,4391.66,5146.41,-754.74
R00102,2022-03-01,2022,3,2022-03,Expense,Professional Services,R&D,6619.85,7386.26,-766.41
R00103,2022-03-01,2022,3,2022-03,Expense,Office Supplies,R&D,2188.68,1930.19,258.49
R00104,2022-03-01,2022,3,2022-03,Expense,Training,R&D,3177.06,3061.89,115.17
R00105,2022-04-01,2022,4,2022-04,Revenue,Product Sales,Sales,328617.56,308403.16,20214.4
R00106,2022-04-01,2022,4,2022-04,Revenue,Service Revenue,Sales,176876.24,159792.89,17083.35
R00107,2022-04-01,2022,4,2022-04,Revenue,Subscription,Sales,212962.44,207043.7,5918.74
R00108,2022-04-01,2022,4,2022-04,Revenue,Licensing,Sales,79518.01,72525.38,6992.63
R00109,2022-04-01,2022,4,2022-04,Expense,Marketing Spend,Sales,28230.68,26433.65,1797.03
R00110,2022-04-01,2022,4,2022-04,Expense,Rent & Utilities,Sales,12903.14,12488.72,414.41
R00111,2022-04-01,2022,4,2022-04,Expense,Software & Tools,Sales,8966.13,8006.72,959.4
R00112,2022-04-01,2022,4,2022-04,Expense,Professional Services,Sales,7830.6,6875.91,954.69
R00113,2022-04-01,2022,4,2022-04,Expense,Office Supplies,Sales,2243.23,1869.21,374.02
R00114,2022-04-01,2022,4,2022-04,Expense,Training,Sales,3405.06,3216.29,188.76
R00115,2022-04-01,2022,4,2022-04,Expense,Rent & Utilities,Marketing,11255.56,11671.04,-415.48
R00116,2022-04-01,2022,4,2022-04,Expense,Training,Marketing,2994.98,2787.63,207.35
R00117,2022-04-01,2022,4,2022-04,Expense,Salaries,Operations,83509.03,90272.78,-6763.75
R00118,2022-04-01,2022,4,2022-04,Expense,Marketing Spend,Operations,22128.0,23571.97,-1443.96
R00119,2022-04-01,2022,4,2022-04,Expense,Travel,Operations,4376.16,5160.78,-784.62
R00120,2022-04-01,2022,4,2022-04,Expense,Professional Services,Operations,7675.91,7230.99,444.91
R00121,2022-04-01,2022,4,2022-04,Expense,Office Supplies,Operations,1750.9,2155.72,-404.82
R00122,2022-04-01,2022,4,2022-04,Expense,Training,Operations,2883.58,3150.14,-266.57
R00123,2022-04-01,2022,4,2022-04,Expense,Software & Tools,IT,12600.72,15038.55,-2437.82
R00124,2022-04-01,2022,4,2022-04,Expense,Professional Services,IT,7853.34,6564.54,1288.8
R00125,2022-04-01,2022,4,2022-04,Expense,Office Supplies,IT,1706.81,1989.97,-283.16
R00126,2022-04-01,2022,4,2022-04,Expense,Training,IT,2656.94,2816.41,-159.48
R00127,2022-04-01,2022,4,2022-04,Expense,Travel,HR,4678.57,5294.88,-616.31
R00128,2022-04-01,2022,4,2022-04,Expense,Professional Services,HR,7972.77,6453.61,1519.15
R00129,2022-04-01,2022,4,2022-04,Expense,Training,HR,3352.03,3013.3,338.73
R00130,2022-04-01,2022,4,2022-04,Expense,Marketing Spend,Finance,25403.91,26877.21,-1473.3
R00131,2022-04-01,2022,4,2022-04,Expense,Rent & Utilities,Finance,12465.84,12375.84,90.0
R00132,2022-04-01,2022,4,2022-04,Expense,Software & Tools,Finance,8306.14,8107.92,198.22
R00133,2022-04-01,2022,4,2022-04,Expense,Professional Services,Finance,6540.02,7504.46,-964.44
R00134,2022-04-01,2022,4,2022-04,Expense,Training,Finance,3108.12,2893.14,214.98
R00135,2022-04-01,2022,4,2022-04,Expense,Salaries,R&D,109296.6,107907.27,1389.33
R00136,2022-04-01,2022,4,2022-04,Expense,Rent & Utilities,R&D,13707.82,12933.52,774.3
R00137,2022-04-01,2022,4,2022-04,Expense,Travel,R&D,4714.29,5251.04,-536.74
R00138,2022-04-01,2022,4,2022-04,Expense,Office Supplies,R&D,2246.56,2103.21,143.34
R00139,2022-05-01,2022,5,2022-05,Revenue,Product Sales,Operations,314491.0,301713.2,12777.8
R00140,2022-05-01,2022,5,2022-05,Revenue,Service Revenue,R&D,141684.49,163382.38,-21697.89
R00141,2022-05-01,2022,5,2022-05,Revenue,Subscription,Sales,177178.5,189466.54,-12288.04
R00142,2022-05-01,2022,5,2022-05,Revenue,Licensing,R&D,79551.44,74436.02,5115.42
R00143,2022-05-01,2022,5,2022-05,Expense,Salaries,Sales,122360.47,116732.16,5628.3
R00144,2022-05-01,2022,5,2022-05,Expense,Travel,Sales,4872.23,4818.73,53.5
R00145,2022-05-01,2022,5,2022-05,Expense,Professional Services,Sales,7765.92,7350.45,415.47
R00146,2022-05-01,2022,5,2022-05,Expense,Travel,Marketing,4925.82,4703.33,222.49
R00147,2022-05-01,2022,5,2022-05,Expense,Training,Marketing,3154.53,3056.7,97.83
R00148,2022-05-01,2022,5,2022-05,Expense,Salaries,Operations,75145.72,87333.4,-12187.68
R00149,2022-05-01,2022,5,2022-05,Expense,Marketing Spend,Operations,27042.39,25080.65,1961.73
R00150,2022-05-01,2022,5,2022-05,Expense,Office Supplies,Operations,1780.41,1849.21,-68.8
R00151,2022-05-01,2022,5,2022-05,Expense,Rent & Utilities,IT,10690.94,11067.93,-376.99
R00152,2022-05-01,2022,5,2022-05,Expense,Software & Tools,IT,14788.44,14151.73,636.71
R00153,2022-05-01,2022,5,2022-05,Expense,Travel,IT,5606.24,4878.6,727.63
R00154,2022-05-01,2022,5,2022-05,Expense,Professional Services,IT,7595.67,6884.13,711.54
R00155,2022-05-01,2022,5,2022-05,Expense,Marketing Spend,HR,28199.41,24968.47,3230.94
R00156,2022-05-01,2022,5,2022-05,Expense,Rent & Utilities,HR,11852.89,12921.66,-1068.77
R00157,2022-05-01,2022,5,2022-05,Expense,Software & Tools,HR,7589.0,8170.75,-581.75
R00158,2022-05-01,2022,5,2022-05,Expense,Travel,HR,4363.79,4703.1,-339.31
R00159,2022-05-01,2022,5,2022-05,Expense,Professional Services,HR,6269.0,6595.49,-326.49
R00160,2022-05-01,2022,5,2022-05,Expense,Training,HR,2861.1,3190.46,-329.36
R00161,2022-05-01,2022,5,2022-05,Expense,Salaries,Finance,89272.72,80543.55,8729.17
R00162,2022-05-01,2022,5,2022-05,Expense,Marketing Spend,Finance,21556.51,23675.74,-2119.23
R00163,2022-05-01,2022,5,2022-05,Expense,Rent & Utilities,Finance,10837.24,11210.31,-373.07
R00164,2022-05-01,2022,5,2022-05,Expense,Software & Tools,Finance,7905.87,7624.11,281.76
R00165,2022-05-01,2022,5,2022-05,Expense,Travel,Finance,5005.13,5152.32,-147.19
R00166,2022-05-01,2022,5,2022-05,Expense,Professional Services,Finance,7628.76,7143.25,485.51
R00167,2022-05-01,2022,5,2022-05,Expense,Office Supplies,Finance,2224.15,2134.68,89.47
R00168,2022-05-01,2022,5,2022-05,Expense,Training,Finance,2799.19,3146.98,-347.79
R00169,2022-05-01,2022,5,2022-05,Expense,Marketing Spend,R&D,22820.12,24481.89,-1661.77
R00170,2022-05-01,2022,5,2022-05,Expense,Rent & Utilities,R&D,12425.72,11748.31,677.4
R00171,2022-05-01,2022,5,2022-05,Expense,Software & Tools,R&D,8593.93,7406.95,1186.98
R00172,2022-05-01,2022,5,2022-05,Expense,Travel,R&D,5320.02,5316.17,3.86
R00173,2022-05-01,2022,5,2022-05,Expense,Professional Services,R&D,7067.44,6560.03,507.41
R00174,2022-05-01,2022,5,2022-05,Expense,Office Supplies,R&D,2019.57,1917.59,101.98
R00175,2022-05-01,2022,5,2022-05,Expense,Training,R&D,2889.56,2769.63,119.92
R00176,2022-06-01,2022,6,2022-06,Revenue,Product Sales,Operations,277769.87,281787.38,-4017.51
R00177,2022-06-01,2022,6,2022-06,Revenue,Service Revenue,Sales,154438.71,149054.48,5384.23
R00178,2022-06-01,2022,6,2022-06,Revenue,Subscription,R&D,197785.08,196904.56,880.52
R00179,2022-06-01,2022,6,2022-06,Revenue,Licensing,R&D,75130.95,72391.88,2739.07
R00180,2022-06-01,2022,6,2022-06,Expense,Travel,Sales,4756.17,5319.72,-563.55
R00181,2022-06-01,2022,6,2022-06,Expense,Office Supplies,Sales,1998.95,1945.71,53.24
R00182,2022-06-01,2022,6,2022-06,Expense,Salaries,Marketing,77995.99,83168.85,-5172.87
R00183,2022-06-01,2022,6,2022-06,Expense,Marketing Spend,Marketing,60788.49,51373.41,9415.08
R00184,2022-06-01,2022,6,2022-06,Expense,Software & Tools,Marketing,8821.55,7426.09,1395.46
R00185,2022-06-01,2022,6,2022-06,Expense,Travel,Marketing,5295.44,5397.8,-102.36
R00186,2022-06-01,2022,6,2022-06,Expense,Salaries,Operations,97114.21,84874.18,12240.03
R00187,2022-06-01,2022,6,2022-06,Expense,Travel,Operations,4964.93,5270.87,-305.94
R00188,2022-06-01,2022,6,2022-06,Expense,Professional Services,Operations,7982.79,7236.27,746.52
R00189,2022-06-01,2022,6,2022-06,Expense,Office Supplies,Operations,2141.75,2009.55,132.2
R00190,2022-06-01,2022,6,2022-06,Expense,Marketing Spend,IT,25045.78,26728.06,-1682.28
R00191,2022-06-01,2022,6,2022-06,Expense,Rent & Utilities,IT,12337.98,11748.92,589.06
R00192,2022-06-01,2022,6,2022-06,Expense,Software & Tools,IT,14609.97,14512.72,97.25
R00193,2022-06-01,2022,6,2022-06,Expense,Travel,IT,5276.86,4670.29,606.56
R00194,2022-06-01,2022,6,2022-06,Expense,Professional Services,IT,5955.69,6570.7,-615.01
R00195,2022-06-01,2022,6,2022-06,Expense,Office Supplies,IT,2063.66,2094.17,-30.51
R00196,2022-06-01,2022,6,2022-06,Expense,Training,IT,3315.65,3118.07,197.59
R00197,2022-06-01,2022,6,2022-06,Expense,Salaries,HR,96039.92,91676.64,4363.28
R00198,2022-06-01,2022,6,2022-06,Expense,Marketing Spend,HR,24094.21,26705.8,-2611.58
R00199,2022-06-01,2022,6,2022-06,Expense,Software & Tools,HR,8675.63,8419.76,255.87
R00200,2022-06-01,2022,6,2022-06,Expense,Training,HR,2762.12,3064.2,-302.08
R00201,2022-06-01,2022,6,2022-06,Expense,Marketing Spend,Finance,25662.3,25731.93,-69.63
R00202,2022-06-01,2022,6,2022-06,Expense,Rent & Utilities,Finance,12769.62,12767.36,2.26
R00203,2022-06-01,2022,6,2022-06,Expense,Travel,Finance,4908.12,5061.99,-153.87
R00204,2022-06-01,2022,6,2022-06,Expense,Professional Services,Finance,6772.11,7035.68,-263.57
R00205,2022-06-01,2022,6,2022-06,Expense,Office Supplies,Finance,1837.42,2013.71,-176.3
R00206,2022-06-01,2022,6,2022-06,Expense,Training,Finance,2849.53,3110.66,-261.13
R00207,2022-06-01,2022,6,2022-06,Expense,Marketing Spend,R&D,27839.72,24981.69,2858.02
R00208,2022-07-01,2022,7,2022-07,Revenue,Product Sales,Operations,255103.85,270756.79,-15652.94
R00209,2022-07-01,2022,7,2022-07,Revenue,Service Revenue,Sales,156525.29,152797.87,3727.42
R00210,2022-07-01,2022,7,2022-07,Revenue,Subscription,R&D,168274.17,186678.56,-18404.39
R00211,2022-07-01,2022,7,2022-07,Revenue,Licensing,R&D,75549.6,67151.74,8397.86
R00212,2022-07-01,2022,7,2022-07,Expense,Marketing Spend,Sales,22969.39,25889.01,-2919.62
R00213,2022-07-01,2022,7,2022-07,Expense,Professional Services,Sales,6478.78,6827.18,-348.4
R00214,2022-07-01,2022,7,2022-07,Expense,Office Supplies,Sales,2245.07,2026.69,218.38
R00215,2022-07-01,2022,7,2022-07,Expense,Training,Sales,2965.81,3214.7,-248.89
R00216,2022-07-01,2022,7,2022-07,Expense,Salaries,Marketing,87198.86,85080.09,2118.77
R00217,2022-07-01,2022,7,2022-07,Expense,Rent & Utilities,Marketing,13339.65,12829.67,509.98
R00218,2022-07-01,2022,7,2022-07,Expense,Training,Marketing,3068.66,3051.22,17.44
R00219,2022-07-01,2022,7,2022-07,Expense,Salaries,Operations,91029.33,90907.39,121.94
R00220,2022-07-01,2022,7,2022-07,Expense,Rent & Utilities,Operations,10607.66,12930.9,-2323.24
R00221,2022-07-01,2022,7,2022-07,Expense,Travel,Operations,5631.26,5295.92,335.35
R00222,2022-07-01,2022,7,2022-07,Expense,Professional Services,Operations,7191.68,6886.88,304.8
R00223,2022-07-01,2022,7,2022-07,Expense,Office Supplies,Operations,1901.12,2096.91,-195.79
R00224,2022-07-01,2022,7,2022-07,Expense,Training,Operations,2850.15,2951.12,-100.97
R00225,2022-07-01,2022,7,2022-07,Expense,Salaries,IT,95706.32,82910.31,12796.01
R00226,2022-07-01,2022,7,2022-07,Expense,Marketing Spend,IT,26781.26,24808.87,1972.39
R00227,2022-07-01,2022,7,2022-07,Expense,Rent & Utilities,IT,11828.78,11310.45,518.34
R00228,2022-07-01,2022,7,2022-07,Expense,Software & Tools,IT,14392.95,14213.2,179.74
R00229,2022-07-01,2022,7,2022-07,Expense,Professional Services,IT,7169.24,7148.14,21.1
R00230,2022-07-01,2022,7,2022-07,Expense,Office Supplies,IT,2098.12,1896.97,201.15
R00231,2022-07-01,2022,7,2022-07,Expense,Salaries,HR,82822.92,79360.76,3462.16
R00232,2022-07-01,2022,7,2022-07,Expense,Rent & Utilities,HR,12343.39,11168.79,1174.6
R00233,2022-07-01,2022,7,2022-07,Expense,Travel,HR,5597.08,4764.11,832.97
R00234,2022-07-01,2022,7,2022-07,Expense,Professional Services,HR,6026.75,6968.71,-941.96
R00235,2022-07-01,2022,7,2022-07,Expense,Training,HR,3247.97,2977.58,270.4
R00236,2022-07-01,2022,7,2022-07,Expense,Salaries,Finance,83489.45,83650.38,-160.93
R00237,2022-07-01,2022,7,2022-07,Expense,Rent & Utilities,Finance,10854.94,12694.63,-1839.69
R00238,2022-07-01,2022,7,2022-07,Expense,Travel,Finance,4656.12,5115.2,-459.08
R00239,2022-07-01,2022,7,2022-07,Expense,Professional Services,Finance,6003.31,6614.89,-611.58
R00240,2022-07-01,2022,7,2022-07,Expense,Salaries,R&D,101283.38,105745.4,-4462.03
R00241,2022-07-01,2022,7,2022-07,Expense,Rent & Utilities,R&D,10574.79,12575.84,-2001.05
R00242,2022-07-01,2022,7,2022-07,Expense,Software & Tools,R&D,8366.59,7664.87,701.72
R00243,2022-07-01,2022,7,2022-07,Expense,Travel,R&D,4614.76,5177.81,-563.06
R00244,2022-07-01,2022,7,2022-07,Expense,Training,R&D,3151.28,2858.39,292.88
R00245,2022-08-01,2022,8,2022-08,Revenue,Product Sales,R&D,254543.2,278455.45,-23912.25
R00246,2022-08-01,2022,8,2022-08,Revenue,Service Revenue,Sales,145880.37,144694.75,1185.62
R00247,2022-08-01,2022,8,2022-08,Revenue,Subscription,Sales,158269.82,172871.72,-14601.9
R00248,2022-08-01,2022,8,2022-08,Revenue,Licensing,R&D,65697.26,69589.33,-3892.07
R00249,2022-08-01,2022,8,2022-08,Expense,Marketing Spend,Sales,27438.3,24452.24,2986.07
R00250,2022-08-01,2022,8,2022-08,Expense,Rent & Utilities,Sales,13190.36,11702.77,1487.59
R00251,2022-08-01,2022,8,2022-08,Expense,Travel,Sales,5541.6,4775.61,765.99
R00252,2022-08-01,2022,8,2022-08,Expense,Training,Sales,3059.2,3232.98,-173.78
R00253,2022-08-01,2022,8,2022-08,Expense,Salaries,Marketing,76893.73,84792.99,-7899.25
R00254,2022-08-01,2022,8,2022-08,Expense,Marketing Spend,Marketing,58987.83,56749.84,2237.99
R00255,2022-08-01,2022,8,2022-08,Expense,Rent & Utilities,Marketing,10984.88,12278.5,-1293.62
R00256,2022-08-01,2022,8,2022-08,Expense,Software & Tools,Marketing,7117.46,8512.73,-1395.27
R00257,2022-08-01,2022,8,2022-08,Expense,Training,Marketing,3283.55,2999.08,284.47
R00258,2022-08-01,2022,8,2022-08,Expense,Salaries,Operations,82583.83,84965.52,-2381.7
R00259,2022-08-01,2022,8,2022-08,Expense,Rent & Utilities,Operations,10704.07,11546.27,-842.21
R00260,2022-08-01,2022,8,2022-08,Expense,Software & Tools,Operations,8557.24,7680.94,876.31
R00261,2022-08-01,2022,8,2022-08,Expense,Professional Services,Operations,7153.92,7378.68,-224.76
R00262,2022-08-01,2022,8,2022-08,Expense,Office Supplies,Operations,2162.55,1975.05,187.5
R00263,2022-08-01,2022,8,2022-08,Expense,Training,Operations,3412.76,2848.5,564.27
R00264,2022-08-01,2022,8,2022-08,Expense,Salaries,IT,91910.14,79128.2,12781.95
R00265,2022-08-01,2022,8,2022-08,Expense,Rent & Utilities,IT,13495.85,12425.34,1070.51
R00266,2022-08-01,2022,8,2022-08,Expense,Professional Services,IT,7953.58,6591.2,1362.38
R00267,2022-08-01,2022,8,2022-08,Expense,Office Supplies,IT,1861.95,2012.75,-150.8
R00268,2022-08-01,2022,8,2022-08,Expense,Training,IT,3307.38,3166.28,141.1
R00269,2022-08-01,2022,8,2022-08,Expense,Marketing Spend,HR,25924.99,24896.95,1028.04
R00270,2022-08-01,2022,8,2022-08,Expense,Rent & Utilities,HR,11465.54,11832.56,-367.02
R00271,2022-08-01,2022,8,2022-08,Expense,Professional Services,HR,6109.46,6527.1,-417.64
R00272,2022-08-01,2022,8,2022-08,Expense,Office Supplies,HR,2280.62,1841.68,438.94
R00273,2022-08-01,2022,8,2022-08,Expense,Training,HR,2833.14,3147.57,-314.43
R00274,2022-08-01,2022,8,2022-08,Expense,Software & Tools,Finance,7008.09,8586.46,-1578.37
R00275,2022-08-01,2022,8,2022-08,Expense,Professional Services,R&D,7356.83,6489.47,867.36
R00276,2022-09-01,2022,9,2022-09,Revenue,Product Sales,R&D,263148.23,258974.67,4173.56
R00277,2022-09-01,2022,9,2022-09,Revenue,Service Revenue,Sales,121718.97,139753.83,-18034.86
R00278,2022-09-01,2022,9,2022-09,Revenue,Subscription,R&D,160341.87,166453.55,-6111.68
